# Recommended confusable mapping for IDN
1D6BF,03A8 
1D6F9,03A8 
1D733,03A8 
1D76D,03A8 
1D7A7,03A8 
2CAE,03A8 
0470,03A8 
16D8,03A8 
102B5,03A8 
2375,03C9 
1D6DA,03C9 
1D714,03C9 
1D74E,03C9 
1D788,03C9 
1D7C2,03C9 
2CB1,03C9 
A64D,03C9 
A7B7,03C9 
2126,03A9 
1D6C0,03A9 
1D6FA,03A9 
1D734,03A9 
1D76E,03A9 
1D7A8,03A9 
162F,03A9 
1635,03A9 
102B6,03A9 
2379,03C9 0332 
1F7D,1FF4 
2630,2CB6 
2CDC,03EC 
0497,0436 0329 
0496,0416 0329 
0376,0418 
10425,0418 
0419,040D 
048A,040D 0326 
045D,0439 
048B,0439 0326 
1D2B,043B 
04C6,043B 0326 
AB60,0459 
13C7,0460 
15EF,0460 
047C,0460 0483 
18ED,0460 00B7 
A7B6,A64C 
04CC,04B7 
04CB,04B6 
04BE,04BC 0328 
2CBD,0448 
2CBC,0428 
2108,042D 
0587,0565 0582 
FB14,0574 0565 
FB15,0574 056B 
FB17,0574 056D 
FB13,0574 0576 
2229,0548 
22C2,0548 
144E,0548 
A4F5,0548 
145A,0548 00B7 
1468,0548 0027 
FB16,057E 0576 
20BD,0554 
02D3,0559 
02BF,0559 
2135,05D0 
FB21,05D0 
FB2F,FB2E 
FB30,FB2E 
FB4F,05D0 05DC 
2136,05D1 
2137,05D2 
2138,05D3 
FB22,05D3 
FB23,05D4 
FB39,FB1D 
FB24,05DB 
FB25,05DC 
FB26,05DD 
FB20,05E2 
FB27,05E8 
FB2B,FB2A 
FB49,FB2A 
FB2D,FB2C 
FB28,05EA 
FE80,0621 
06FD,0621 0348 
FE82,0622 
FE81,0622 
FB51,0671 
FB50,0671 
1EE01,0628 
1EE21,0628 
1EE61,0628 
1EE81,0628 
1EEA1,0628 
FE91,0628 
FE92,0628 
FE90,0628 
FE8F,0628 
0751,0628 06DB 
08A1,0628 0654 
FCA0,0628 006F 
FCE2,0628 006F 
FC9C,0628 062C 
FC05,0628 062C 
FC9D,0628 062D 
FC06,0628 062D 
FDC2,0628 062D 0649 
FC9E,0628 062E 
FC07,0628 062E 
FCD2,0628 062E 
FC4B,0628 062E 
FD9E,0628 062E 0649 
FC6A,0628 0631 
FC6B,0628 0632 
FC9F,0628 0645 
FCE1,0628 0645 
FC6C,0628 0645 
FC08,0628 0645 
FC6D,0628 0646 
FC6E,0628 0649 
FC09,0628 0649 
FC6F,0628 0649 
FC0A,0628 0649 
FB54,067B 
FB55,067B 
FB53,067B 
FB52,067B 
06D0,067B 
FBE6,067B 
FBE7,067B 
FBE5,067B 
FBE4,067B 
FB5C,0680 
FB5D,0680 
FB5B,0680 
FB5A,0680 
08A9,0754 
0767,0754 
00F6,0629 
FE94,0629 
FE93,0629 
06C3,0629 
1EE15,062A 
1EE35,062A 
1EE75,062A 
1EE95,062A 
1EEB5,062A 
FE97,062A 
FE98,062A 
FE96,062A 
FE95,062A 
FCA5,062A 006F 
FCE4,062A 006F 
FCA1,062A 062C 
FC0B,062A 062C 
FD50,062A 062C 0645 
FDA0,062A 062C 0649 
FD9F,062A 062C 0649 
FCA2,062A 062D 
FC0C,062A 062D 
FD52,062A 062D 062C 
FD51,062A 062D 062C 
FD53,062A 062D 0645 
FCA3,062A 062E 
FC0D,062A 062E 
FD54,062A 062E 0645 
FDA2,062A 062E 0649 
FDA1,062A 062E 0649 
FC70,062A 0631 
FC71,062A 0632 
FCA4,062A 0645 
FCE3,062A 0645 
FC72,062A 0645 
FC0E,062A 0645 
FD55,062A 0645 062C 
FD56,062A 0645 062D 
FD57,062A 0645 062E 
FDA4,062A 0645 0649 
FDA3,062A 0645 0649 
FC73,062A 0646 
FC74,062A 0649 
FC0F,062A 0649 
FC75,062A 0649 
FC10,062A 0649 
FB60,067A 
FB61,067A 
FB5F,067A 
FB5E,067A 
FB64,067F 
FB65,067F 
FB63,067F 
FB62,067F 
1EE02,062C 
1EE22,062C 
1EE42,062C 
1EE62,062C 
1EE82,062C 
1EEA2,062C 
FE9F,062C 
FEA0,062C 
FE9E,062C 
FE9D,062C 
FCA7,062C 062D 
FC15,062C 062D 
FDA6,062C 062D 0649 
FDBE,062C 062D 0649 
FDFB,062C 0644 0020 062C 0644 006C 0644 006F 
FCA8,062C 0645 
FC16,062C 0645 
FD59,062C 0645 062D 
FD58,062C 0645 062D 
FDA7,062C 0645 0649 
FDA5,062C 0645 0649 
FD1D,062C 0649 
FD01,062C 0649 
FD1E,062C 0649 
FD02,062C 0649 
FB78,0683 
FB79,0683 
FB77,0683 
FB76,0683 
FB74,0684 
FB75,0684 
FB73,0684 
FB72,0684 
FB7C,0686 
FB7D,0686 
FB7B,0686 
FB7A,0686 
FB80,0687 
FB81,0687 
FB7F,0687 
FB7E,0687 
1EE07,062D 
1EE27,062D 
1EE47,062D 
1EE67,062D 
1EE87,062D 
1EEA7,062D 
FEA3,062D 
FEA4,062D 
FEA2,062D 
FEA1,062D 
0685,062D 06DB 
0681,062D 0654 
0772,062D 0654 
FCA9,062D 062C 
FC17,062D 062C 
FDBF,062D 062C 0649 
FCAA,062D 0645 
FC18,062D 0645 
FD5B,062D 0645 0649 
FD5A,062D 0645 0649 
FD1B,062D 0649 
FCFF,062D 0649 
FD1C,062D 0649 
FD00,062D 0649 
1EE17,062E 
1EE37,062E 
1EE57,062E 
1EE77,062E 
1EE97,062E 
1EEB7,062E 
FEA7,062E 
FEA8,062E 
FEA6,062E 
FEA5,062E 
FCAB,062E 062C 
FC19,062E 062C 
FC1A,062E 062D 
FCAC,062E 0645 
FC1B,062E 0645 
FD1F,062E 0649 
FD03,062E 0649 
FD20,062E 0649 
FD04,062E 0649 
102E1,062F 
1EE03,062F 
1EE83,062F 
1EEA3,062F 
FEAA,062F 
FEA9,062F 
0688,062F 0615 
FB89,062F 0615 
FB88,062F 0615 
068E,062F 06DB 
FB87,062F 06DB 
FB86,062F 06DB 
06EE,062F 0302 
08AE,062F 0324 0323 
1EE18,0630 
1EE98,0630 
1EEB8,0630 
FEAC,0630 
FEAB,0630 
FC5B,0630 0670 
068B,068A 0615 
FB85,068C 
FB84,068C 
FB83,068D 
FB82,068D 
1EE13,0631 
1EE93,0631 
1EEB3,0631 
FEAE,0631 
FEAD,0631 
0691,0631 0615 
FB8D,0631 0615 
FB8C,0631 0615 
0698,0631 06DB 
FB8B,0631 06DB 
FB8A,0631 06DB 
0692,0631 0306 
06EF,0631 0302 
076C,0631 0654 
FC5C,0631 0670 
FDF6,0631 0633 0648 0644 
FDFC,0631 0649 006C 0644 
1EE06,0632 
1EE86,0632 
1EEA6,0632 
FEB0,0632 
FEAF,0632 
08B2,0632 0302 
0771,0697 0615 
1EE0E,0633 
1EE2E,0633 
1EE4E,0633 
1EE6E,0633 
1EE8E,0633 
1EEAE,0633 
FEB3,0633 
FEB4,0633 
FEB2,0633 
FEB1,0633 
0634,0633 06DB 
1EE14,0633 06DB 
1EE34,0633 06DB 
1EE54,0633 06DB 
1EE74,0633 06DB 
1EE94,0633 06DB 
1EEB4,0633 06DB 
FEB7,0633 06DB 
FEB8,0633 06DB 
FEB6,0633 06DB 
FEB5,0633 06DB 
077E,0633 0302 
FD31,0633 006F 
FCE8,0633 006F 
FD32,0633 06DB 006F 
FCEA,0633 06DB 006F 
FCAD,0633 062C 
FD34,0633 062C 
FC1C,0633 062C 
FD2D,0633 06DB 062C 
FD37,0633 06DB 062C 
FD25,0633 06DB 062C 
FD09,0633 06DB 062C 
FD5D,0633 062C 062D 
FD5E,0633 062C 0649 
FD69,0633 06DB 062C 0649 
FCAE,0633 062D 
FD35,0633 062D 
FC1D,0633 062D 
FD2E,0633 06DB 062D 
FD38,0633 06DB 062D 
FD26,0633 06DB 062D 
FD0A,0633 06DB 062D 
FD5C,0633 062D 062C 
FD68,0633 06DB 062D 0645 
FD67,0633 06DB 062D 0645 
FDAA,0633 06DB 062D 0649 
FCAF,0633 062E 
FD36,0633 062E 
FC1E,0633 062E 
FD2F,0633 06DB 062E 
FD39,0633 06DB 062E 
FD27,0633 06DB 062E 
FD0B,0633 06DB 062E 
FDA8,0633 062E 0649 
FDC6,0633 062E 0649 
FD2A,0633 0631 
FD0E,0633 0631 
FD29,0633 06DB 0631 
FD0D,0633 06DB 0631 
FCB0,0633 0645 
FCE7,0633 0645 
FC1F,0633 0645 
FD30,0633 06DB 0645 
FCE9,0633 06DB 0645 
FD28,0633 06DB 0645 
FD0C,0633 06DB 0645 
FD61,0633 0645 062C 
FD60,0633 0645 062D 
FD5F,0633 0645 062D 
FD6B,0633 06DB 0645 062E 
FD6A,0633 06DB 0645 062E 
FD63,0633 0645 0645 
FD62,0633 0645 0645 
FD6D,0633 06DB 0645 0645 
FD6C,0633 06DB 0645 0645 
FD17,0633 0649 
FCFB,0633 0649 
FD18,0633 0649 
FCFC,0633 0649 
FD19,0633 06DB 0649 
FCFD,0633 06DB 0649 
FD1A,0633 06DB 0649 
FCFE,0633 06DB 0649 
102F2,0635 
1EE11,0635 
1EE31,0635 
1EE51,0635 
1EE71,0635 
1EE91,0635 
1EEB1,0635 
FEBB,0635 
FEBC,0635 
FEBA,0635 
FEB9,0635 
069E,0635 06DB 
08AF,0635 0324 0323 
FCB1,0635 062D 
FC20,0635 062D 
FD65,0635 062D 062D 
FD64,0635 062D 062D 
FDA9,0635 062D 0649 
FCB2,0635 062E 
FD2B,0635 0631 
FD0F,0635 0631 
FDF5,0635 0644 0639 0645 
FDF9,0635 0644 0649 
FDF0,0635 0644 0649 
FDFA,0635 0644 0649 0020 006C 0644 0644 006F 0020 0639 0644 0649 006F 0020 0648 0633 0644 0645 
FCB3,0635 0645 
FC21,0635 0645 
FDC5,0635 0645 0645 
FD66,0635 0645 0645 
FD21,0635 0649 
FD05,0635 0649 
FD22,0635 0649 
FD06,0635 0649 
1EE19,0636 
1EE39,0636 
1EE59,0636 
1EE79,0636 
1EE99,0636 
1EEB9,0636 
FEBF,0636 
FEC0,0636 
FEBE,0636 
FEBD,0636 
FCB4,0636 062C 
FC22,0636 062C 
FCB5,0636 062D 
FC23,0636 062D 
FD6E,0636 062D 0649 
FDAB,0636 062D 0649 
FCB6,0636 062E 
FC24,0636 062E 
FD70,0636 062E 0645 
FD6F,0636 062E 0645 
FD2C,0636 0631 
FD10,0636 0631 
FCB7,0636 0645 
FC25,0636 0645 
FD23,0636 0649 
FD07,0636 0649 
FD24,0636 0649 
FD08,0636 0649 
102E8,0637 
1EE08,0637 
1EE68,0637 
1EE88,0637 
1EEA8,0637 
FEC3,0637 
FEC4,0637 
FEC2,0637 
FEC1,0637 
069F,0637 06DB 
FCB8,0637 062D 
FC26,0637 062D 
FD33,0637 0645 
FD3A,0637 0645 
FC27,0637 0645 
FD72,0637 0645 062D 
FD71,0637 0645 062D 
FD73,0637 0645 0645 
FD74,0637 0645 0649 
FD11,0637 0649 
FCF5,0637 0649 
FD12,0637 0649 
FCF6,0637 0649 
1EE1A,0638 
1EE7A,0638 
1EE9A,0638 
1EEBA,0638 
FEC7,0638 
FEC8,0638 
FEC6,0638 
FEC5,0638 
FCB9,0638 0645 
FD3B,0638 0645 
FC28,0638 0645 
060F,0639 
1EE0F,0639 
1EE2F,0639 
1EE4F,0639 
1EE6F,0639 
1EE8F,0639 
1EEAF,0639 
FECB,0639 
FECC,0639 
FECA,0639 
FEC9,0639 
FCBA,0639 062C 
FC29,0639 062C 
FDC4,0639 062C 0645 
FD75,0639 062C 0645 
FDF7,0639 0644 0649 006F 
FCBB,0639 0645 
FC2A,0639 0645 
FD77,0639 0645 0645 
FD76,0639 0645 0645 
FD78,0639 0645 0649 
FDB6,0639 0645 0649 
FD13,0639 0649 
FCF7,0639 0649 
FD14,0639 0649 
FCF8,0639 0649 
1EE1B,063A 
1EE3B,063A 
1EE5B,063A 
1EE7B,063A 
1EE9B,063A 
1EEBB,063A 
FECF,063A 
FED0,063A 
FECE,063A 
FECD,063A 
FCBC,063A 062C 
FC2B,063A 062C 
FCBD,063A 0645 
FC2C,063A 0645 
FD79,063A 0645 0645 
FD7B,063A 0645 0649 
FD7A,063A 0645 0649 
FD15,063A 0649 
FCF9,063A 0649 
FD16,063A 0649 
FCFA,063A 0649 
1EE10,0641 
1EE30,0641 
1EE70,0641 
1EE90,0641 
1EEB0,0641 
FED3,0641 
FED4,0641 
FED2,0641 
FED1,0641 
06A7,0641 
FCBE,0641 062C 
FC2D,0641 062C 
FCBF,0641 062D 
FC2E,0641 062D 
FCC0,0641 062E 
FC2F,0641 062E 
FD7D,0641 062E 0645 
FD7C,0641 062E 0645 
FCC1,0641 0645 
FC30,0641 0645 
FDC1,0641 0645 0649 
FC7C,0641 0649 
FC31,0641 0649 
FC7D,0641 0649 
FC32,0641 0649 
1EE1E,06A1 
1EE7E,06A1 
066F,06A1 
1EE1F,06A1 
1EE5F,06A1 
06A4,06A1 06DB 
FB6C,06A1 06DB 
FB6D,06A1 06DB 
FB6B,06A1 06DB 
FB6A,06A1 06DB 
06A8,06A1 06DB 
08A4,06A2 06DB 
FB70,06A6 
FB71,06A6 
FB6F,06A6 
FB6E,06A6 
1EE12,0642 
1EE32,0642 
1EE52,0642 
1EE72,0642 
1EE92,0642 
1EEB2,0642 
FED7,0642 
FED8,0642 
FED6,0642 
FED5,0642 
FCC2,0642 062D 
FC33,0642 062D 
FDF1,0642 0644 0649 
FCC3,0642 0645 
FC34,0642 0645 
FDB4,0642 0645 062D 
FD7E,0642 0645 062D 
FD7F,0642 0645 0645 
FDB2,0642 0645 0649 
FC7E,0642 0649 
FC35,0642 0649 
FC7F,0642 0649 
FC36,0642 0649 
1EE0A,0643 
1EE2A,0643 
1EE6A,0643 
FEDB,0643 
FEDC,0643 
FEDA,0643 
FED9,0643 
06A9,0643 
FB90,0643 
FB91,0643 
FB8F,0643 
FB8E,0643 
06AA,0643 
06AD,0643 06DB 
FBD5,0643 06DB 
FBD6,0643 06DB 
FBD4,0643 06DB 
FBD3,0643 06DB 
0763,0643 06DB 
FC80,0643 006C 
FC37,0643 006C 
FCC4,0643 062C 
FC38,0643 062C 
FCC5,0643 062D 
FC39,0643 062D 
FCC6,0643 062E 
FC3A,0643 062E 
FCC7,0643 0644 
FCEB,0643 0644 
FC81,0643 0644 
FC3B,0643 0644 
FCC8,0643 0645 
FCEC,0643 0645 
FC82,0643 0645 
FC3C,0643 0645 
FDC3,0643 0645 0645 
FDBB,0643 0645 0645 
FDB7,0643 0645 0649 
FC83,0643 0649 
FC3D,0643 0649 
FC84,0643 0649 
FC3E,0643 0649 
0762,06AC 
FB94,06AF 
FB95,06AF 
FB93,06AF 
FB92,06AF 
08B0,06AF 
06B4,06AF 06DB 
FB9C,06B1 
FB9D,06B1 
FB9B,06B1 
FB9A,06B1 
FB98,06B3 
FB99,06B3 
FB97,06B3 
FB96,06B3 
1EE0B,0644 
1EE2B,0644 
1EE4B,0644 
1EE8B,0644 
1EEAB,0644 
FEDF,0644 
FEE0,0644 
FEDE,0644 
FEDD,0644 
06B7,0644 06DB 
06B5,0644 0306 
FEFC,0644 006C 
FEFB,0644 006C 
FEFA,0644 006C 0655 
FEF9,0644 006C 0655 
FEF8,0644 006C 0674 
FEF7,0644 006C 0674 
FCCD,0644 006F 
FEF6,0644 0622 
FEF5,0644 0622 
FCC9,0644 062C 
FC3F,0644 062C 
FD83,0644 062C 062C 
FD84,0644 062C 062C 
FDBA,0644 062C 0645 
FDBC,0644 062C 0645 
FDAC,0644 062C 0649 
FCCA,0644 062D 
FC40,0644 062D 
FDB5,0644 062D 0645 
FD80,0644 062D 0645 
FD82,0644 062D 0649 
FD81,0644 062D 0649 
FCCB,0644 062E 
FC41,0644 062E 
FD86,0644 062E 0645 
FD85,0644 062E 0645 
FCCC,0644 0645 
FCED,0644 0645 
FC85,0644 0645 
FC42,0644 0645 
FD88,0644 0645 062D 
FD87,0644 0645 062D 
FDAD,0644 0645 0649 
FC86,0644 0649 
FC43,0644 0649 
FC87,0644 0649 
FC44,0644 0649 
1EE0C,0645 
1EE2C,0645 
1EE6C,0645 
1EE8C,0645 
1EEAC,0645 
FEE3,0645 
FEE4,0645 
FEE2,0645 
FEE1,0645 
08A7,0645 06DB 
06FE,0645 0348 
FC88,0645 006C 
FCCE,0645 062C 
FC45,0645 062C 
FD8C,0645 062C 062D 
FD92,0645 062C 062E 
FD8D,0645 062C 0645 
FDC0,0645 062C 0649 
FCCF,0645 062D 
FC46,0645 062D 
FD89,0645 062D 062C 
FD8A,0645 062D 0645 
FDF4,0645 062D 0645 062F 
FD8B,0645 062D 0649 
FCD0,0645 062E 
FC47,0645 062E 
FD8E,0645 062E 062C 
FD8F,0645 062E 0645 
FDB9,0645 062E 0649 
FCD1,0645 0645 
FC89,0645 0645 
FC48,0645 0645 
FDB1,0645 0645 0649 
FC49,0645 0649 
FC4A,0645 0649 
1EE0D,0646 
1EE2D,0646 
1EE4D,0646 
1EE6D,0646 
1EE8D,0646 
1EEAD,0646 
FEE7,0646 
FEE8,0646 
FEE6,0646 
FEE5,0646 
0768,0646 0615 
0769,0646 0306 
FCD6,0646 006F 
FCEF,0646 006F 
FDB8,0646 062C 062D 
FDBD,0646 062C 062D 
FD98,0646 062C 0645 
FD97,0646 062C 0645 
FD99,0646 062C 0649 
FDC7,0646 062C 0649 
FCD3,0646 062D 
FC4C,0646 062D 
FD95,0646 062D 0645 
FD96,0646 062D 0649 
FDB3,0646 062D 0649 
FCD4,0646 062E 
FC4D,0646 062E 
FC8A,0646 0631 
FC8B,0646 0632 
FCD5,0646 0645 
FCEE,0646 0645 
FC8C,0646 0645 
FC4E,0646 0645 
FD9B,0646 0645 0649 
FD9A,0646 0645 0649 
FC8D,0646 0646 
FC8E,0646 0649 
FC4F,0646 0649 
FC8F,0646 0649 
FC50,0646 0649 
06C2,06C0 
FBA5,06C0 
FBA4,06C0 
102E4,0648 
1EE05,0648 
1EE85,0648 
1EEA5,0648 
FEEE,0648 
FEED,0648 
08B1,0648 
06CB,0648 06DB 
FBDF,0648 06DB 
FBDE,0648 06DB 
06C7,0648 0313 
FBD8,0648 0313 
FBD7,0648 0313 
06C6,0648 0306 
FBDA,0648 0306 
FBD9,0648 0306 
06C9,0648 0302 
FBE3,0648 0302 
FBE2,0648 0302 
06C8,0648 0670 
FBDC,0648 0670 
FBDB,0648 0670 
0624,0648 0674 
FE86,0648 0674 
FE85,0648 0674 
0676,0648 0674 
0677,0648 0313 0674 
FBDD,0648 0313 0674 
FDF8,0648 0633 0644 0645 
FBE1,06C5 
FBE0,06C5 
066E,0649 
1EE1C,0649 
1EE7C,0649 
06BA,0649 
1EE1D,0649 
1EE5D,0649 
FB9F,0649 
FB9E,0649 
FBE8,0649 
FBE9,0649 
FEF0,0649 
FEEF,0649 
064A,0649 
1EE09,0649 
1EE29,0649 
1EE49,0649 
1EE69,0649 
1EE89,0649 
1EEA9,0649 
FEF3,0649 
FEF4,0649 
FEF2,0649 
FEF1,0649 
06CC,0649 
FBFE,0649 
FBFF,0649 
FBFD,0649 
FBFC,0649 
06D2,0649 
FBAF,0649 
FBAE,0649 
0679,0649 0615 
FB68,0649 0615 
FB69,0649 0615 
FB67,0649 0615 
FB66,0649 0615 
06BB,0649 0615 
FBA2,0649 0615 
FBA3,0649 0615 
FBA1,0649 0615 
FBA0,0649 0615 
067E,0649 06DB 
FB58,0649 06DB 
FB59,0649 06DB 
FB57,0649 06DB 
FB56,0649 06DB 
062B,0649 06DB 
1EE16,0649 06DB 
1EE36,0649 06DB 
1EE76,0649 06DB 
1EE96,0649 06DB 
1EEB6,0649 06DB 
FE9B,0649 06DB 
FE9C,0649 06DB 
FE9A,0649 06DB 
FE99,0649 06DB 
06BD,0649 06DB 
06D1,0649 06DB 
063F,0649 06DB 
0756,0649 0306 
06CE,0649 0306 
063D,0649 0302 
08A8,0649 0654 
FC90,0649 0670 
FC5D,0649 0670 
FCDE,0649 006F 
FCF1,0649 006F 
FCE6,0649 06DB 006F 
0626,0649 0674 
FE8B,0649 0674 
FE8C,0649 0674 
FE8A,0649 0674 
FE89,0649 0674 
0678,0649 0674 
FBEB,0649 0674 006C 
FBEA,0649 0674 006C 
FC9B,0649 0674 006F 
FCE0,0649 0674 006F 
FBED,0649 0674 006F 
FBEC,0649 0674 006F 
FBF8,0649 0674 067B 
FBF7,0649 0674 067B 
FBF6,0649 0674 067B 
FC97,0649 0674 062C 
FC00,0649 0674 062C 
FC98,0649 0674 062D 
FC01,0649 0674 062D 
FC99,0649 0674 062E 
FC64,0649 0674 0631 
FC65,0649 0674 0632 
FC9A,0649 0674 0645 
FCDF,0649 0674 0645 
FC66,0649 0674 0645 
FC02,0649 0674 0645 
FC67,0649 0674 0646 
FBEF,0649 0674 0648 
FBEE,0649 0674 0648 
FBF1,0649 0674 0648 0313 
FBF0,0649 0674 0648 0313 
FBF3,0649 0674 0648 0306 
FBF2,0649 0674 0648 0306 
FBF5,0649 0674 0648 0670 
FBF4,0649 0674 0648 0670 
FBFB,0649 0674 0649 
FBFA,0649 0674 0649 
FC68,0649 0674 0649 
FBF9,0649 0674 0649 
FC03,0649 0674 0649 
FC69,0649 0674 0649 
FC04,0649 0674 0649 
FCDA,0649 062C 
FC55,0649 062C 
FC11,0649 06DB 062C 
FDAF,0649 062C 0649 
FCDB,0649 062D 
FC56,0649 062D 
FDAE,0649 062D 0649 
FCDC,0649 062E 
FC57,0649 062E 
FC91,0649 0631 
FC76,0649 06DB 0631 
FC92,0649 0632 
FC77,0649 06DB 0632 
FCDD,0649 0645 
FCF0,0649 0645 
FC93,0649 0645 
FC58,0649 0645 
FCA6,0649 06DB 0645 
FCE5,0649 06DB 0645 
FC78,0649 06DB 0645 
FC12,0649 06DB 0645 
FD9D,0649 0645 0645 
FD9C,0649 0645 0645 
FDB0,0649 0645 0649 
FC94,0649 0646 
FC79,0649 06DB 0646 
FC95,0649 0649 
FC59,0649 0649 
FC96,0649 0649 
FC5A,0649 0649 
FC7A,0649 06DB 0649 
FC13,0649 06DB 0649 
FC7B,0649 06DB 0649 
FC14,0649 06DB 0649 
FBB1,06D3 
FBB0,06D3 
102B8,2D40 
205E,2D42 
2E3D,2D42 
2999,2D42 
FE19,2D57 
205D,2D57 
22EE,2D57 
0906,0905 093E 
0912,0905 093E 0946 
0913,0905 093E 0947 
0914,0905 093E 0948 
0904,0905 0946 
0911,0905 0949 
090D,090F 0945 
090E,090F 0946 
0910,090F 0947 
0908,0930 094D 0907 
0ABD,093D 
111DC,A8FB 
0AC1,0941 
0AC2,0942 
0A4B,0946 
0A4D,094D 
0ACD,094D 
0986,0985 09BE 
09E0,098B 09C3 
09E1,098B 09C3 
11492,0998 
11494,099A 
11496,099C 
11498,099E 
11499,099F 
1149B,09A1 
114AA,09A3 
1149E,09A4 
1149F,09A5 
114A0,09A6 
114A1,09A7 
114A2,09A8 
114A3,09AA 
114A9,09AC 
114A7,09AE 
114A8,09AF 
114AB,09B0 
1149D,09B2 
114AD,09B7 
114AE,09B8 
114C4,09BD 
114B0,09BE 
114B1,09BF 
114B9,09C7 
114BC,09CB 
114BE,09CC 
114C2,09CD 
114BD,09D7 
0A09,0A73 0A41 
0A0A,0A73 0A42 
0A06,0A05 0A3E 
0A10,0A05 0A48 
0A14,0A05 0A4C 
0A07,0A72 0A3F 
0A08,0A72 0A40 
0A0F,0A72 0A47 
0A86,0A85 0ABE 
0A91,0A85 0ABE 0AC5 
0A93,0A85 0ABE 0AC7 
0A94,0A85 0ABE 0AC8 
0A8D,0A85 0AC5 
0A8F,0A85 0AC7 
0A90,0A85 0AC8 
0B06,0B05 0B3E 
0BEE,0B85 
0BB0,0B88 
0BBE,0B88 
0BEB,0B88 0BC1 
0BE8,0B89 
0D09,0B89 
0B8A,0B89 0BB3 
0D0A,0B89 0D57 
0BED,0B8E 
0BF7,0B8E 0BB5 
0B9C,0B90 
0D1C,0B90 
0BE7,0B95 
0BEA,0B9A 
0BEC,0B9A 0BC1 
0BF2,0B9A 0BC2 
0D3A,0B9F 0BBF 
0D23,0BA3 
0BFA,0BA8 0BC0 
0BF4,0BAE 0BC0 
0BF0,0BAF 
0D34,0BB4 
0BD7,0BB3 
0BC8,0BA9 
0D36,0BB6 
0BF8,0BB7 
0D3F,0BBF 
0D40,0BBF 
0BCA,0BC6 0B88 
0BCC,0BC6 0BB3 
0BCB,0BC7 0B88 
0C85,0C05 
0C86,0C06 
0C87,0C07 
0C60,0C0B 0C3E 
0C61,0C0C 0C3E 
0C92,0C12 
0C14,0C12 0C4C 
0C94,0C12 0C4C 
0C13,0C12 0C55 
0C93,0C12 0C55 
0C9C,0C1C 
0C9E,0C1E 
0C22,0C21 0323 
0CA3,0C23 
0C25,0C27 05BC 
0C2D,0C2C 0323 
0CAF,0C2F 
0C20,0C30 05BC 
0CB1,0C31 
0CB2,0C32 
0C37,0C35 0323 
0C39,0C35 0C3E 
0C2E,0C35 0C41 
0C42,0C41 0C3E 
0C44,0C43 0C3E 
0CE1,0C8C 0CBE 
0D08,0D07 0D57 
0D10,0D0E 0D46 
0D13,0D12 0D3E 
0D14,0D12 0D57 
0D61,0D1E 
0D6B,0D26 0D4D 0D30 
0D0C,0D28 0D41 
0D19,0D28 0D41 
0D6F,0D28 0D4D 
0D8C,0D28 0D4D 0D28 
0D31,0D30 
0D6A,0D30 0D4D 
0D6E,0D35 0D4D 
0D42,0D41 
0D43,0D41 
0D48,0D46 0D46 
0DEA,0DA2 
0DEB,0DAF 
115D8,11582 
115D9,11582 
115DA,11583 
115DB,11584 
0E03,0E02 
0E14,0E04 
0E15,0E04 
0E21,0E06 
0E88,0E08 
0E0B,0E0A 
0E0F,0E0E 
0E17,0E11 
0E9A,0E1A 
0E9B,0E1B 
0E9D,0E1D 
0E9E,0E1E 
0E9F,0E1F 
0E26,0E20 
0E8D,0E22 
17D4,0E2F 
0E45,0E32 
0E33,030A 0E32 
17B7,0E34 
17B8,0E35 
17B9,0E36 
17BA,0E37 
0EB8,0E38 
0EB9,0E39 
0E41,0E40 0E40 
0EDC,0EAB 0E99 
0EDD,0EAB 0EA1 
0EB3,030A 0EB2 
0F6A,0F62 
0F00,0F68 0F7C 0F7E 
0F77,0FB2 0F71 0F80 
0F79,0FB3 0F71 0F80 
1081,1002 103E 
1000,1002 102C 
1070,1003 103E 
1066,1015 103E 
101F,1015 102C 
106F,1015 102C 103E 
102A,1029 1031 102C 103A 
109E,1083 030A 
17A3,17A2 
19D0,199E 
19D1,19B1 
1A80,1A45 
1A90,1A45 
AA53,AA01 
AA56,AA23 
1B52,1B0D 
1B53,1B11 
1B58,1B28 
1896,185C 
1855,1835 
1FF6,13EF 
140D,1401 00B7 
142B,1401 1420 
1411,1404 00B7 
1413,1405 00B7 
142D,1405 1420 
1415,1406 00B7 
1418,140A 00B7 
142E,140A 1420 
141A,140B 00B7 
14D1,1421 
1540,1429 
143F,1432 00B7 
1443,1434 00B7 
2369,1435 
1447,1439 00B7 
145C,144F 00B7 
2E27,1450 
2283,1450 
145E,1450 00B7 
1469,1450 0027 
27C9,1450 002F 
2AD7,1450 1455 
1460,1451 00B7 
2E26,1455 
2282,1455 
1462,1455 00B7 
146A,1455 0027 
1464,1456 00B7 
1475,146B 00B7 
1485,146B 0027 
1479,146E 00B7 
147D,1470 00B7 
147F,1472 00B7 
1488,1472 0027 
1481,1473 00B7 
1603,1489 
1493,1489 00B7 
1495,148B 00B7 
1497,148C 00B7 
149B,148E 00B7 
1602,1490 
149D,1490 00B7 
149F,1491 00B7 
14AD,14A3 00B7 
14B1,14A6 00B7 
14B3,14A7 00B7 
14B5,14A8 00B7 
14B9,14AB 00B7 
14CA,14C0 00B7 
14CC,14C7 00B7 
14CE,14C8 00B7 
1604,14D3 
